route,num,name,longitude,latitude
0,0,本庄駅南口,139.18818,36.23585
0,1,駅入口,139.18709,36.2342
0,2,七軒町,139.1839,36.23457
0,3,前原一丁目,139.1839,36.23457
0,4,前原二丁目,139.17939,36.23657
0,5,沖電気前,139.17399,36.2393
0,6,小島南三丁目,139.1685,36.24185
0,7,古新田,139.1634,36.23874
1,0,本庄駅南口,139.18818,36.23585
1,1,駅入口,139.18709,36.2342
1,2,七軒町,139.1839,36.23457
1,3,エーザイ前,139.1811,36.23444
1,4,本庄高校入口,139.17769,36.23185
1,5,東冨田,139.17449,36.2303
1,6,西富田,139.1701,36.2282
1,7,四方田,139.1637,36.22166
1,8,高関,139.1589,36.2151
1,9,児玉温泉ファミリープラザ,139.1526,36.21141
1,10,蛭川,139.14879,36.20882
1,11,吉田林,139.1389,36.20243
1,12,ガード下,139.1321,36.19758
1,13,高校入口,139.13159,36.19424
1,14,児玉駅入口,139.1317,36.19187
1,15,連雀町,139.13239,36.18919
1,16,児玉小学校入口,139.1357,36.18686
1,17,児玉折返し場,139.1402,36.18502
2,0,宮本町車庫,139.17539,36.24377
2,1,前原二丁目,139.17399,36.2393
2,2,前原一丁目,139.17939,36.23657
2,3,七軒町,139.1839,36.23457
2,4,本庄駅南口,139.18818,36.23585
2,5,駅入口,139.18709,36.2342
2,6,七軒町,139.1839,36.23457
2,7,エーザイ前,139.1811,36.23444
2,8,本庄高校入口,139.17769,36.23185
2,9,東冨田,139.17449,36.2303
2,10,西富田,139.1701,36.2282
2,11,四方田,139.1637,36.22166
2,12,高関,139.1589,36.2151
2,13,児玉温泉ファミリープラザ,139.1526,36.21141
2,14,蛭川,139.14879,36.20882
2,15,吉田林,139.1389,36.20243
2,16,ガード下,139.1321,36.19758
2,17,高校入口,139.13159,36.19424
2,18,児玉駅入口,139.1317,36.19187
2,19,連雀町,139.13239,36.18919
2,20,児玉小学校入口,139.1357,36.18686
2,21,児玉折返し場,139.1402,36.18502
3,0,本庄駅南口,139.18818,36.23585
3,1,駅入口,139.18709,36.2342
3,2,七軒町,139.1839,36.23457
3,3,前原一丁目,139.1839,36.23457
3,4,前原二丁目,139.17939,36.23657
3,5,沖電住宅,139.17179,36.23993
3,6,小島南,139.1679,36.23899
3,7,小島南三丁目,139.1685,36.24185
3,8,古新田,139.1634,36.23874
4,0,本庄駅南口,139.18818,36.23585
4,1,駅入口,139.18709,36.2342
4,2,七軒町,139.1839,36.23457
4,3,前原一丁目,139.1839,36.23457
4,4,前原二丁目,139.17939,36.23657
4,5,沖電気前,139.17399,36.2393
5,0,宮本町車庫,139.17539,36.24377
5,1,前原二丁目,139.17399,36.2393
5,2,前原一丁目,139.17939,36.23657
5,3,七軒町,139.1839,36.23457
5,4,本庄駅南口,139.18818,36.23585
6,0,坂東橋南詰,139.1887,36.25815
6,1,沼和田,139.1866,36.25482
6,2,飯玉,139.1878,36.25195
6,3,若泉三丁目,139.1901,36.2491
6,4,若泉一丁目,139.18989,36.24635
6,5,本庄市役所,139.18949,36.2434
6,6,本庄三丁目,139.1893,36.2412
6,7,本町,139.1891,36.23972
6,8,本庄駅北口,139.1892,36.23599
7,0,坂東橋南詰,139.1887,36.25815
7,1,沼和田,139.1866,36.25482
7,2,飯玉,139.1878,36.25195
7,3,若泉三丁目,139.1901,36.2491
7,4,若泉一丁目,139.18989,36.24635
7,5,本庄市役所,139.18949,36.2434
7,6,本庄三丁目,139.1893,36.2412
7,7,本町,139.1891,36.23972
7,8,本庄駅北口,139.1892,36.23599
7,9,けや木,139.1856,36.22806
7,10,法務局南,139.18309,36.22426
7,11,本庄早稲田駅,139.18039,36.21909
