"","type","num","cost_after","cost_before","cost_delta","user","cost_delta_per_capita"
"1","bunka",0,1263559152.98882,612415684.3839,651143468.604917,185992.0521,3500.92093319571
"2","bunka",1,589408466.728387,612415684.3839,-23007217.6555135,185992.0521,-123.700004359022
"3","byoin",0,3494712861.9555,3691240529.55876,-196527667.603265,1960094.616,-100.264378055547
"4","byoin",1,3908506029.60733,3691240529.55876,217265500.048567,1960094.616,110.844394079274
"5","byoin",2,4095369577.81806,3691240529.55876,404129048.259299,1960094.616,206.178336984575
"6","byoin",3,3625273962.33907,3691240529.55876,-65966567.2196932,1960094.616,-33.6547872134419
"7","byoin",4,3874187144.81351,3691240529.55876,182946615.25475,1960094.616,93.3356041904203
"8","byoin",5,3960533231.64728,3691240529.55876,269292702.088516,1960094.616,137.387603583171
"9","jido",0,220120536.36989,193027431.670373,27093104.6995169,61377.2669,441.419210530485
"10","jido",1,182973519.1698,193027431.670373,-10053912.5005726,61377.2669,-163.805151457023
"11","kominkan",0,925735660.209612,876351699.361287,49383960.8483253,372917.5408,132.425953315
"12","kominkan",1,892081487.510216,876351699.361287,15729788.1489291,372917.5408,42.1803386217362
"13","kominkan",2,887533221.12871,876351699.361287,11181521.7674229,372917.5408,29.9838987016695
"14","kominkan",3,891895486.610111,876351699.361287,15543787.2488242,372917.5408,41.6815664274708
"15","kominkan",4,924304113.71088,876351699.361287,47952414.3495929,372917.5408,128.587178406044
"16","kominkan",5,886520003.267555,876351699.361287,10168303.9062684,372917.5408,27.2668962807564
"17","kominkan",6,872713240.185307,876351699.361287,-3638459.1759795,372917.5408,-9.75673916591347
"18","kominkan",7,869961294.3663,876351699.361287,-6390404.99498725,372917.5408,-17.1362413826881
"19","kominkan",8,877958129.893253,876351699.361287,1606430.53196633,372917.5408,4.30773658037147
"20","kominkan",9,869160860.515559,876351699.361287,-7190838.84572744,372917.5408,-19.2826511466887
"21","kominkan",10,893917420.260669,876351699.361287,17565720.8993826,372917.5408,47.1034987029567
"22","kominkan",11,875697238.564725,876351699.361287,-654460.796561718,372917.5408,-1.75497455860547
"23","kominkan",12,882624984.855259,876351699.361287,6273285.49397182,372917.5408,16.8221786524551
"24","sangyoshinko",0,350251362.055326,376605596.870112,-26354234.8147861,53189.2583,-495.480396927929
"25","sangyoshinko",1,284560107.089323,376605596.870112,-92045489.7807896,53189.2583,-1730.52779306738
"26","sangyoshinko",2,511496136.821643,376605596.870112,134890539.95153,53189.2583,2536.04852300658
"27","shiminkatsudo",0,276530498.797934,244290099.978972,32240398.8189619,90454.4026,356.427082510652
"28","shiminkatsudo",1,250249593.995669,244290099.978972,5959494.01669723,90454.4026,65.8839575012265
"29","shiminkatsudo",2,267230272.761985,244290099.978972,22940172.783013,90454.4026,253.610350890902
"30","shiminkatsudo",3,240350374.071248,244290099.978972,-3939725.90772399,90454.4026,-43.5548275648442
"31","shiryokanto",0,203595261.399086,156650280.622113,46944980.7769728,35178.7733,1334.46895309942
"32","shiryokanto",1,142016699.263812,156650280.622113,-14633581.3583012,35178.7733,-415.977590619999
"33","shiryokanto",2,141501657.496392,156650280.622113,-15148623.1257205,35178.7733,-430.618287810522
"34","sports",0,1906540721.00019,1747372783.44137,159167937.558817,561641.24,283.397881464006
"35","sports",1,1752904741.95417,1747372783.44137,5531958.51279807,561641.24,9.84963018883384
"36","sports",2,1781998482.39938,1747372783.44137,34625698.9580073,561641.24,61.6509196475803
"37","sports",3,1741440544.24783,1747372783.44137,-5932239.19354033,561641.24,-10.5623283531322
"38","sports",4,1792760048.30085,1747372783.44137,45387264.8594816,561641.24,80.8118450480623
"39","sports",5,1867504813.52852,1747372783.44137,120132030.087156,561641.24,213.894603051506
"40","super",0,44677074488.7491,40446794057.0563,4230280431.69281,10341017.6218,409.077770332285
"41","super",1,37427944785.5016,40446794057.0563,-3018849271.55468,10341017.6218,-291.929612922293
"42","super",2,44519897200.7369,40446794057.0563,4073103143.68053,10341017.6218,393.878367936825
"43","super",3,39301775341.2385,40446794057.0563,-1145018715.81778,10341017.6218,-110.72592250534
"44","super",4,38397792683.8914,40446794057.0563,-2049001373.16489,10341017.6218,-198.143108164266
"45","toshokan",0,4366856176.37303,1187823151.08586,3179033025.28717,645501.2961,4924.90571977826
"46","toshokan",1,2031251378.75756,1187823151.08586,843428227.671693,645501.2961,1306.62514973638
